# Movement recording started for TopDed (268461562)
-71508 258180 -3135 ; from -71368 258250 -3109
-71663 258003 -3128 ; from -71507 258185 -3109
-72176 257387 -3141 ; from -71650 258014 -3102
-72459 257065 -3141 ; from -72162 257390 -3115
-72830 256611 -3141 ; from -72450 257069 -3115
-73389 256123 -3152 ; from -72818 256622 -3115
-73840 255604 -3179 ; from -73377 256125 -3126
-74197 255080 -3249 ; from -73826 255614 -3152
-75076 254068 -3355 ; from -74194 255087 -3223
-75236 253905 -3357 ; from -74878 254302 -3313
-75748 253180 -3357 ; from -75176 253935 -3331
-76539 252287 -3352 ; from -75747 253182 -3331
-76900 251791 -3353 ; from -76530 252285 -3326
-77362 251347 -3383 ; from -76898 251790 -3327
-77699 250882 -3445 ; from -77361 251357 -3357
-78443 250062 -3599 ; from -77699 250894 -3420
-78892 249412 -3599 ; from -78434 250062 -3573
-79422 248925 -3599 ; from -78883 249423 -3573
-80193 247847 -3671 ; from -79410 248925 -3573
-81034 247160 -3680 ; from -80195 247854 -3645
-81600 246167 -3722 ; from -81025 247165 -3654
-82346 245139 -3745 ; from -81587 246175 -3697
-82824 244462 -3755 ; from -82339 245150 -3719
-83663 243685 -3755 ; from -82819 244462 -3730
-84025 243292 -3755 ; from -83650 243693 -3730
# Movement recording stopped
