# Movement recording started for TopDed (268461562)
-94754 241265 -3370 ; from -94735 240683 -3284
-94577 242169 -3571 ; from -94759 241264 -3344
-94772 243316 -3571 ; from -94585 242159 -3545
-94574 244809 -3643 ; from -94774 243312 -3546
-94810 245463 -3599 ; from -94569 244799 -3618
-95004 246176 -3656 ; from -94805 245455 -3574
-94979 246879 -3684 ; from -94998 246177 -3631
-95151 247258 -3655 ; from -94984 246863 -3658
-95535 247888 -3686 ; from -95140 247248 -3629
-95708 248401 -3644 ; from -95523 247889 -3660
-96092 248537 -3612 ; from -95702 248402 -3619
# Movement recording stopped
